ID,Rank,UTC,ItemNo,GroupingFactor,Grouped,ACC,RT_1,ChoiceLoc,ChoiceSym,RT_2
1,16,1419693201413,7,Dist,yes,yes,1987,left,A,1746
1,14,1419693188266,4,Dist,no,yes,2609,left,A_pop,1932
1,10,1419693148292,22,Line,no,yes,26202,left,A_pop,7747
1,17,1419693209666,19,Line,yes,yes,2979,left,A,2265
1,23,1419693249331,13,Ellipse,no,yes,1923,left,A_pop,1924
1,18,1419693217187,10,Ellipse,yes,yes,2917,left,A,1769
1,13,1419693181284,1,None,no,yes,3647,left,A,6829
1,11,1419693160993,0,None,yes,yes,2180,right,C,7993
1,12,1419693168342,0,None,yes,yes,2414,top,C,2422
1,15,1419693195042,0,None,yes,yes,1923,right,C,2370
1,19,1419693224017,0,None,yes,yes,2143,left,C,2250
1,20,1419693230941,0,None,yes,yes,1924,right,C,2222
1,21,1419693237486,0,None,yes,yes,1400,left,C,2707
1,22,1419693243033,0,None,yes,yes,1296,top,C,1792
2,21,1419693484518,7,Dist,no,yes,5034,right,A_pop,1130
2,18,1419693464574,4,Dist,yes,yes,4206,right,A,1542
2,11,1419693417840,22,Line,yes,yes,4423,right,A,2029
2,22,1419693489950,19,Line,no,yes,1665,right,A_pop,1331
2,12,1419693424600,13,Ellipse,no,yes,2240,left,A_pop,2078
2,13,1419693430936,10,Ellipse,no,yes,1841,right,A_pop,2052
2,24,1419693500008,1,None,no,yes,1373,right,A,799
2,14,1419693437478,0,None,yes,yes,2269,left,C,1863
2,15,1419693443845,0,None,yes,yes,1866,right,C,2093
2,16,1419693450357,0,None,yes,yes,1463,left,C,2638
2,17,1419693456414,0,None,yes,yes,1958,right,C,1695
2,19,1419693470190,0,None,yes,yes,1732,top,C,1471
2,20,1419693475942,0,None,yes,yes,1682,right,C,1663
2,23,1419693495398,0,None,yes,yes,1568,top,C,1450
3,16,1419694254378,7,Dist,yes,yes,1347,left,A,1184
3,13,1419694238241,4,Dist,no,yes,1993,left,A_pop,1777
3,14,1419694244259,22,Line,no,yes,1740,left,A_pop,1869
3,22,1419694286497,19,Line,yes,yes,1419,left,A,1006
3,19,1419694271356,13,Ellipse,no,yes,1806,left,A_pop,1902
3,23,1419694291196,10,Ellipse,yes,yes,1437,left,A,851
3,20,1419694276058,1,None,no,yes,1282,left,A,1014
3,10,1419694222332,0,None,yes,yes,2064,right,C,1491
3,11,1419694227198,0,None,yes,yes,1351,left,C,1107
3,12,1419694232062,0,None,yes,yes,1237,right,C,1219
3,15,1419694249438,0,None,yes,yes,1345,top,C,1424
3,17,1419694260023,0,None,yes,yes,1574,left,C,1664
3,18,1419694265235,0,None,yes,yes,1160,top,C,1646
3,21,1419694281664,0,None,yes,yes,1171,right,C,2026
4,25,1419696563071,7,Dist,no,yes,2174,right,A_pop,1303
4,17,1419696514775,4,Dist,yes,yes,2025,right,A,3623
4,19,1419696527341,22,Line,yes,yes,2277,right,A,1630
4,21,1419696540470,19,Line,yes,yes,2264,left,A,2835
4,22,1419696545915,13,Ellipse,yes,yes,1521,right,A,1505
4,18,1419696521018,10,Ellipse,yes,yes,2279,left,A,1530
4,23,1419696551562,1,None,no,yes,1492,left,A,1745
4,12,1419696485964,0,None,yes,yes,4840,top,C,1875
4,13,1419696491262,0,None,yes,yes,1417,left,C,1471
4,14,1419696496516,0,None,yes,yes,1297,right,C,1541
4,15,1419696501815,0,None,yes,yes,1376,right,C,1505
